Date,Block,Primary Type,Location Description,Arrest,Year
1/7/2018 17:15,118XX S MARSHFIELD AVE,CRIMINAL TRESPASS,DEPARTMENT STORE,True,2018
1/7/2018 10:30,071XX S VINCENNES AVE,BURGLARY,APARTMENT,False,2018
1/7/2018 2:30,029XX N BROADWAY,BATTERY,BAR OR TAVERN,True,2018
1/6/2018 12:15,078XX S WINCHESTER AVE,OTHER OFFENSE,OTHER,False,2018
1/7/2018 2:56,007XX N DRAKE AVE,BATTERY,RESIDENCE,False,2018
1/7/2018 14:10,059XX W WASHINGTON BLVD,BATTERY,APARTMENT,False,2018
1/7/2018 0:45,002XX E HURON ST,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS,False,2018
1/7/2018 8:00,040XX N KEDZIE AVE,BURGLARY,APARTMENT,False,2018
1/5/2018 16:30,013XX W 61ST ST,BURGLARY,RESIDENCE-GARAGE,False,2018
1/7/2018 13:54,009XX N MICHIGAN AVE,THEFT,SMALL RETAIL STORE,False,2018
1/7/2018 9:00,005XX N MC CLURG CT,DECEPTIVE PRACTICE,RESIDENCE,False,2018
1/6/2018 21:30,071XX S BENNETT AVE,THEFT,APARTMENT,False,2018
1/7/2018 11:16,003XX W 115TH ST,OTHER OFFENSE,OTHER,False,2018
1/7/2018 4:00,021XX N CLYBOURN AVE,DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),False,2018
1/5/2018 20:00,015XX W IRVING PARK RD,CRIMINAL DAMAGE,RESIDENCE,False,2018
1/7/2018 5:00,009XX W 35TH PL,BATTERY,RESIDENCE,False,2018
1/6/2018 11:00,064XX S CAMPBELL AVE,OTHER OFFENSE,APARTMENT,False,2018
1/7/2018 12:00,079XX S RHODES AVE,BATTERY,APARTMENT,False,2018
1/7/2018 2:00,007XX E 84TH ST,MOTOR VEHICLE THEFT,STREET,False,2018
1/7/2018 1:00,011XX W OAKDALE AVE,DECEPTIVE PRACTICE,STREET,False,2018
1/5/2018 17:00,057XX S STATE ST,DECEPTIVE PRACTICE,OTHER,False,2018
1/5/2018 19:40,012XX W 21st St,THEFT,STREET,False,2018
1/7/2018 3:00,033XX N HALSTED ST,THEFT,BAR OR TAVERN,False,2018
1/7/2018 1:17,004XX W 62ND ST,ASSAULT,APARTMENT,False,2018
