ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11211291,JB125886,1/22/2018 17:10,008XX W CHICAGO AVE,820,THEFT,$500 AND UNDER,CTA BUS,FALSE,FALSE,1213,12,27,24,6,1170726,1905582,2018,5/4/2018 15:51,41.89639886,-87.64839918,"(41.896398858, -87.64839918)"
11211344,JB126009,1/22/2018 20:49,0000X S STATE ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,112,1,42,32,6,1176389,1900278,2018,5/4/2018 15:51,41.88171846,-87.62776043,"(41.88171846, -87.627760426)"
11211532,JB126284,1/22/2018 22:30,042XX W ROSCOE ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1731,17,30,16,5,1147344,1922261,2018,5/4/2018 15:51,41.94264776,-87.73384915,"(41.942647758, -87.733849153)"
11211636,JB126365,1/22/2018 20:00,052XX W MELROSE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1634,16,38,15,7,1140840,1921106,2018,5/4/2018 15:51,41.93960065,-87.7577832,"(41.939600654, -87.757783202)"
11216814,JB133125,1/16/2018 17:30,008XX S WELLS ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,123,1,2,32,6,,,2018,1/29/2018 15:56,,,
11212213,JB126942,1/22/2018 20:05,033XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,211,2,2,35,14,,,2018,1/29/2018 15:56,,,
11215961,JB125873,1/22/2018 18:44,009XX N DRAKE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1121,11,27,23,7,1152544,1905950,2018,5/4/2018 15:51,41.89778758,-87.71516873,"(41.89778758, -87.715168733)"
23786,JB124819,1/22/2018 2:45,058XX S SPRINGFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,822,8,13,62,01A,1151376,1865388,2018,3/18/2019 16:08,41.78650334,-87.7205217,"(41.786503336, -87.720521696)"
23787,JB125747,1/22/2018 18:28,010XX E 80TH ST,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,TRUE,TRUE,631,6,8,44,01A,1184740,1852175,2018,3/18/2019 16:08,41.74952795,-87.5986065,"(41.749527954, -87.598606502)"
23788,JB125943,1/22/2018 22:00,026XX E 83RD ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,423,4,7,46,01A,1195113,1850446,2018,3/18/2019 16:08,41.74453409,-87.56065317,"(41.744534088, -87.560653171)"
11199174,JB109677,1/9/2018 10:30,064XX S TALMAN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,825,8,15,66,04A,1159819,1861763,2018,5/4/2018 15:51,41.77638653,-87.68966454,"(41.776386527, -87.689664535)"
11199224,JB109600,1/9/2018 9:55,053XX W MADISON ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,TRUE,FALSE,1522,15,28,25,3,1140937,1899509,2018,5/4/2018 15:51,41.88033426,-87.75795915,"(41.880334264, -87.757959152)"
11211414,JB126165,1/23/2018 2:30,007XX S SPAULDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1134,11,24,27,08B,1154490,1896380,2018,5/4/2018 15:51,41.87148785,-87.70827726,"(41.871487845, -87.708277264)"
11211416,JB126181,1/23/2018 3:38,043XX S MICHIGAN AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,TRUE,215,2,3,38,08B,1177883,1876224,2018,5/4/2018 15:51,41.81567878,-87.62300516,"(41.815678779, -87.623005155)"
11211756,JB126485,1/23/2018 0:35,076XX S CAMPBELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,835,8,18,70,26,1161039,1853860,2018,5/4/2018 15:51,41.75467441,-87.6854103,"(41.754674405, -87.685410299)"
11211919,JB126606,1/23/2018 11:30,081XX S DREXEL AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,631,6,8,44,5,1183653,1851132,2018,5/4/2018 15:51,41.74669125,-87.60262213,"(41.746691254, -87.602622127)"
11211998,JB126789,1/23/2018 13:50,009XX E 133RD PL,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,533,5,9,54,15,1184674,1817270,2018,5/4/2018 15:51,41.65374579,-87.59993756,"(41.653745791, -87.599937561)"
